,X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster,distlobos,lobos
179,33,49138,2020-01-17,16:00:00,-64.67413,-54.859734,392540.246,3919533.096,162.868887564274,1,8,7829.53561407185,0
180,37,49138,2020-01-18,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
181,43,49138,2020-01-18,16:00:00,-64.66987,-54.85227,392793.8658,3920370.071,292.603674969537,1,9,7051.64036077352,0
182,50,49138,2020-01-19,16:00:00,-64.673065,-54.8608,392611.433,3919416.126,123.943998384533,1,8,7956.28052934037,0
183,45,49138,2020-01-19,04:00:00,-64.67413,-54.861866,392545.9155,3919295.889,54.1789681757994,1,10,8064.90512518908,0
184,53,49138,2020-01-20,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
185,58,49138,2020-01-20,16:00:00,-64.67627,-54.8608,392405.7343,3919411.208,86.8728657932399,1,13,7930.72597209356,0
186,61,49138,2020-01-21,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
187,66,49138,2020-01-21,16:00:00,-64.673065,-54.8608,392611.433,3919416.126,123.943998384533,1,8,7956.28052934037,0
188,70,49138,2020-01-22,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
189,74,49138,2020-01-22,16:00:00,-64.673065,-54.8608,392611.433,3919416.126,123.943998384533,1,8,7956.28052934037,0
190,81,49138,2020-01-23,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
191,84,49138,2020-01-24,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
192,89,49138,2020-01-24,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
193,96,49138,2020-01-25,16:00:00,-64.672,-54.8608,392679.7853,3919417.758,97.9531957819634,1,2,7965.93317440243,0
194,104,49138,2020-01-26,16:00:00,-64.672,-54.8608,392679.7853,3919417.758,97.9531957819634,1,2,7965.93317440243,0
195,107,49138,2020-01-27,04:00:00,-64.672,-54.861866,392682.6165,3919299.154,28.6451112086743,1,2,8083.35939747462,0
196,112,49138,2020-01-27,16:00:00,-64.672,-54.8608,392679.7853,3919417.758,97.9531957819634,1,2,7965.93317440243,0
197,118,49138,2020-01-28,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
198,115,49138,2020-01-28,04:00:00,-64.673065,-54.862934,392617.1043,3919178.696,1.84855075933725,1,18,8191.66670214242,0
199,122,49138,2020-01-29,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
200,126,49138,2020-01-29,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10,8056.49654374883,0
201,131,49138,2020-01-30,16:00:00,-64.6752,-54.862934,392480.086,3919175.421,20.7478309171573,1,21,8174.56638534611,0
202,134,49138,2020-01-31,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10,8056.49654374883,0
203,138,49138,2020-01-31,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10,8056.49654374883,0
204,146,49138,2020-02-01,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10,8056.49654374883,0
205,153,49138,2020-02-02,16:00:00,-64.67733,-54.862934,392343.3887,3919172.15,1.84590333875455,1,21,8159.77008042191,0
206,160,49138,2020-02-03,16:00:00,-64.67733,-54.862934,392343.3887,3919172.15,1.84590333875455,1,21,8159.77008042191,0
207,164,49138,2020-02-04,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28,8048.66678472435,0
208,167,49138,2020-02-04,16:00:00,-64.67947,-54.862934,392206.0496,3919168.859,1.05464608863886,1,29,8147.19400447433,0
209,171,49138,2020-02-05,04:00:00,-64.6784,-54.861866,392271.8718,3919289.331,2.02337731282659,1,28,8034.80998825863,0
210,175,49138,2020-02-05,16:00:00,-64.6784,-54.861866,392271.8718,3919289.331,2.02337731282659,1,28,8034.80998825863,0
