X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster
338,49138,2020-02-26,16:00:00,-64.680534,-54.858665,392126.3695,3919642.191,46.9879661166844,1,26
345,49138,2020-02-27,16:00:00,-64.67733,-54.862934,392343.3887,3919172.15,1.84590333875455,1,21
341,49138,2020-02-27,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
347,49138,2020-02-28,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
350,49138,2020-02-28,16:00:00,-64.6496,-54.8928,394201.298,3915891.488,988.198856132278,0,66
355,49138,2020-02-29,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
358,49138,2020-02-29,16:00:00,-64.673065,-54.856533,392600.0936,3919890.874,5.46997265332553,1,48
369,49138,2020-03-01,16:00:00,-64.68266,-54.858665,391989.9146,3919638.915,146.320405223661,1,14
363,49138,2020-03-01,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
377,49138,2020-03-02,16:00:00,-64.673065,-54.8608,392611.433,3919416.126,123.943998384533,1,8
372,49138,2020-03-02,04:00:00,-64.67413,-54.862934,392548.7556,3919177.063,17.0309104421846,1,18
381,49138,2020-03-03,04:00:00,-64.67413,-54.861866,392545.9155,3919295.889,54.1789681757994,1,10
384,49138,2020-03-03,16:00:00,-64.6752,-54.862934,392480.086,3919175.421,20.7478309171573,1,21
389,49138,2020-03-04,04:00:00,-64.67413,-54.861866,392545.9155,3919295.889,54.1789681757994,1,10
